Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source,Rating
a,Albemarle Road Elementary,none,none,7800 Riding Trail Rd,35.197057,-80.729512,7800 Riding Trail Rd,Exact,US Census,2
a,Albemarle Road Middle,none,none,6900 Democracy Dr,35.198649,-80.729013,6900 Democracy Dr,Exact,US Census,1
a,Albemarle Road Relief School,none,none,6108 Wilora Lake Rd,35.20888,-80.747361,6108 Wilora Lake Rd,Exact,US Census,4
a,Alexander Graham Middle,none,none,1800 Runnymede Ln,35.1667,-80.832716,1800 Runnymede Ln,Exact,US Census,1
a,Allenbrook Elementary,none,none,1430 Allenbrook Dr,35.261753,-80.91503,1430 Allenbrook Dr,Exact,US Census,5
a,Ardrey Kell High,none,none,10220 Ardrey Kell Rd,35.02999,-80.82665,10220 Ardrey Kell Rd,Exact,US Census,2
a,Aristotle Preparatory Academy,none,none,8101 Fallsdale Drive,35.3051,-80.952731,8101 Fallsdale Drive,Exact,US Census,1
a,Ashley Park PreK-8 School,none,none,2401 Belfast Dr,35.232655,-80.890678,2401 Belfast Dr,Exact,US Census,5
a,Bailey Middle,none,none,11900 Bailey Rd,35.467451,-80.837951,11900 Bailey Rd,Exact,US Census,5
a,Bain Elementary,none,none,11540 Bain School Rd,35.17497,-80.648406,11540 Bain School Rd,Exact,US Census,4
a,Ballantyne Elementary,none,none,15425 Scholastic Dr,35.037387,-80.856135,15425 Scholastic Dr,Exact,US Census,4
a,Barnette Elementary,none,none,13659 Beatties Ford Rd,35.399842,-80.92486,13659 Beatties Ford Rd,Exact,US Census,4
a,Barringer Academic Center,none,none,1546 Walton Rd,35.210389,-80.888822,1546 Walton Rd,Exact,US Census,3
a,Berewick Elementary,none,none,5910 Dixie River Rd,35.173896,-80.97883,5910 Dixie River Rd,Exact,US Census,2
a,Berryhill School,none,none,10501 Windy Grove Rd,35.212826,-80.990472,10501 Windy Grove Rd,Exact,US Census,2
a,Beverly Woods Elementary,none,none,6001 Quail Hollow Rd,35.13142,-80.836803,6001 Quail Hollow Rd,Exact,US Census,5
a,Billingsville Elementary,none,none,124 Skyland Ave,35.19641,-80.809579,124 Skyland Ave,Exact,US Census,1
a,Blythe Elementary,none,none,12202 Hambright Rd,35.376415,-80.835292,12202 Hambright Rd,Exact,US Census,3
a,Bradford Preparatory School,none,none,2502 Salome Church Rd,35.34506,-80.719291,2502 Salome Church Rd,Exact,US Census,1
a,Briarwood Elementary,none,none,1001 Wilann Dr,35.252048,-80.765664,1001 Wilann Dr,Exact,US Census,1
a,Bruns Academy,none,none,501 S. Bruns Ave,35.239101,-80.864943,501 S. Bruns Ave,Exact,US Census,1
a,Butler High,none,none,1810 Matthews-Mint Hill Rd,35.120282,-80.691593,1810 Matthews-Mint Hill Rd,Exact,US Census,3
a,Carmel Middle,none,none,5001 Camilla Dr,35.128885,-80.804439,5001 Camilla Dr,Exact,US Census,3
a,Cato Middle College High,none,none,8120 Grier Rd   Suite 171-B,35.264861,-80.731168,8120 Grier Rd   Suite 171-B,Exact,US Census,1
a,Chantilly Montessori,none,none,701 Briar Creek Rd,35.207741,-80.800349,701 Briar Creek Rd,Exact,US Census,5
a,Charlotte Choice Charter,none,none,3118 Milton Road,35.23527,-80.736451,3118 Milton Road,Exact,US Census,1
a,Charlotte Engineering Early College-UNCC,none,none,9000 Robert Snyder Rd,35.308908,-80.744073,9000 Robert Snyder Rd,Exact,US Census,1
a,Charlotte Lab School,none,none,301 E 9th Street,35.22912,-80.834801,301 E 9th Street,Exact,US Census,1
a,Charlotte Learning Academy,none,none,800 Briar Creek Rd.,35.20586,-80.798801,800 Briar Creek Rd.,Exact,US Census,3
a,Charlotte Secondary,none,none,8601 McAlpine Park Dr,35.155052,-80.751045,8601 McAlpine Park Dr,Exact,US Census,1
a,Charlotte Teacher Early College,none,none,9201 University City Blvd,35.306158,-80.734571,9201 University City Blvd,Exact,US Census,1
a,Clear Creek Elementary,none,none,13501 Albemarle Rd,35.223754,-80.625159,13501 Albemarle Rd,Exact,US Census,2
a,Cochrane Collegiate Academy,none,none,6200 Starhaven Dr,35.246492,-80.750138,6200 Starhaven Dr,Exact,US Census,1
a,Collinswood Language Academy,none,none,4000 Applegate Rd,35.184731,-80.871463,4000 Applegate Rd,Exact,US Census,3
a,Commonwealth High,none,none,5112 Central Ave,35.20971,-80.758581,5112 Central Ave,Exact,US Census,1
a,Community Charter School,none,none,510 South Torrence Street,35.219422,-80.834189,510 South Torrence Street,Exact,US Census,1
a,Community House Middle,none,none,9500 Community House Rd,35.036092,-80.823957,9500 Community House Rd,Exact,US Census,5
a,Community School of Davidson,none,none,404 Armour Street,35.501804,-80.859593,404 Armour Street,Exact,US Census,4
a,Cornelius Elementary,none,none,21126 Catawba Ave,35.48172,-80.864216,21126 Catawba Ave,Exact,US Census,3
a,Corvian Community School,none,none,9501 David Taylor Dr,35.322945,-80.75652,9501 David Taylor Dr,Exact,US Census,2
a,Cotswold Elementary,none,none,300 Greenwich Rd,35.179268,-80.797578,300 Greenwich Rd,Exact,US Census,1
a,Coulwood STEM Academy,none,none,500 Kentberry Dr,35.303869,-80.944674,500 Kentberry Dr,Exact,US Census,1
a,Crestdale Middle,none,none,940 Sam Newell Rd,35.128716,-80.718054,940 Sam Newell Rd,Exact,US Census,5
a,Croft Community Elementary,none,none,4911 Hucks Rd,35.346489,-80.804651,4911 Hucks Rd,Exact,US Census,2
a,Crown Point Elementary,none,none,3335 Sam Newell Rd,35.159931,-80.715017,3335 Sam Newell Rd,Exact,US Census,3
a,David Cox Road Elementary,none,none,4215 David Cox Rd,35.336844,-80.800925,4215 David Cox Rd,Exact,US Census,1
a,Davidson Elementary,none,none,635 South St,35.489791,-80.8484,635 South St,Exact,US Census,5
a,Devonshire Elementary,none,none,6500 Barrington Dr,35.245108,-80.745969,6500 Barrington Dr,Exact,US Census,1
a,Dilworth Elementary,none,none,405 E. Park Ave,35.211384,-80.851566,405 E. Park Ave,Exact,US Census,4
a,Druid Hills Academy,none,none,2801 Lucena Ave,35.257307,-80.824346,2801 Lucena Ave,Exact,US Census,2
a,East Mecklenburg High,none,none,6800 Monroe Rd,35.176007,-80.757978,6800 Monroe Rd,Exact,US Census,2
a,East Voyager Academy,none,none,11644 Clingman Lane,35.33705,-80.978781,11644 Clingman Lane,Exact,US Census,3
a,Eastover Elementary,none,none,500 Cherokee Rd,35.196611,-80.821652,500 Cherokee Rd,Exact,US Census,2
a,Eastway Middle,none,none,1501 Norland Rd,35.210204,-80.778091,1501 Norland Rd,Exact,US Census,3
a,eLearning Academy,none,none,800 Everett Place,35.23673,-80.813271,800 Everett Place,Exact,US Census,2
a,Elizabeth Lane Elem,none,none,121 Elizabeth Ln,35.112579,-80.747406,121 Elizabeth Ln,Exact,US Census,3
a,Elizabeth Traditional Elem,none,none,1601 Park Dr,35.215382,-80.825433,1601 Park Dr,Exact,US Census,5
a,Elon Park Elementary,none,none,11425 Ardrey Kell Rd,35.022986,-80.843144,11425 Ardrey Kell Rd,Exact,US Census,3
a,Endhaven Elementary,none,none,6815 Endhaven Ln,35.066911,-80.835647,6815 Endhaven Ln,Exact,US Census,5
a,First Ward Creative Arts Acad,none,none,715 N. Caldwell St,35.2291,-80.8323,715 N. Caldwell St,Exact,US Census,3
a,Francis Bradley Middle,none,none,13345 Beatties Ford Rd,35.396738,-80.924644,13345 Beatties Ford Rd,Exact,US Census,4
a,Garinger High,none,none,1100 Eastway Dr,35.241087,-80.782875,1100 Eastway Dr,Exact,US Census,1
a,Grand Oak Elementary,none,none,15410 Stumptown Rd,35.426503,-80.87198,15410 Stumptown Rd,Exact,US Census,5
a,Greenway Park Elementary,none,none,8301 Monroe Rd,35.157394,-80.74606,8301 Monroe Rd,Exact,US Census,1
a,Harding University High,none,none,2001 Alleghany St,35.23659,-80.902644,2001 Alleghany St,Exact,US Census,1
a,Harper Middle College High,none,none,315 W Hebron St,35.1296,-80.8956,315 W Hebron St,Exact,US Census,1
a,Hawk Ridge Elementary,none,none,9201 Bryant Farms Rd,35.043456,-80.825258,9201 Bryant Farms Rd,Exact,US Census,5
a,Hawthorne High,none,none,1411 Hawthorne Ln,35.220508,-80.808895,1411 Hawthorne Ln,Exact,US Census,4
a,Hickory Grove Elementary,none,none,6709 Pence Rd,35.226343,-80.719825,6709 Pence Rd,Exact,US Census,4
a,Hidden Valley Elementary,none,none,5100 Snow White Ln,35.268056,-80.784728,5100 Snow White Ln,Exact,US Census,2
a,Highland Creek Elementary,none,none,7242 Highland Creek Pkwy,35.378279,-80.763331,7242 Highland Creek Pkwy,Exact,US Census,1
a,Highland Mill Montessori,none,none,3201 Clemson Ave,35.243229,-80.804246,3201 Clemson Ave,Exact,US Census,4
a,Highland Renaissance Academy,none,none,125 W Craighead Rd,35.255641,-80.803206,125 W Craighead Rd,Exact,US Census,5
a,Hopewell High,none,none,11530 Beatties Ford Rd,35.378392,-80.911004,11530 Beatties Ford Rd,Exact,US Census,3
a,Hornets Nest Elementary,none,none,6700 Beatties Ford Rd,35.324705,-80.865231,6700 Beatties Ford Rd,Exact,US Census,1
a,Huntersville Elementary,none,none,200 Gilead Rd,35.411572,-80.846933,200 Gilead Rd,Exact,US Census,5
a,Huntingtowne Farms Elementary,none,none,2520 Huntingtowne Farms Ln,35.132706,-80.85987,2520 Huntingtowne Farms Ln,Exact,US Census,2
a,Idlewild Elementary,none,none,7101 Idlewild Rd,35.187135,-80.744159,7101 Idlewild Rd,Exact,US Census,3
a,Independence High,none,none,1967 Patriot Dr,35.197168,-80.687432,1967 Patriot Dr,Exact,US Census,3
a,Invest Collegiate Transform,none,none,2045 Suttle Ave,35.225632,-80.870974,2045 Suttle Ave,Exact,US Census,1
a,Irwin Academic Center,none,none,329 N. Irwin Ave,35.237483,-80.850052,329 N. Irwin Ave,Exact,US Census,5
a,J H Gunn Elementary,none,none,7400 Harrisburg Rd,35.21602,-80.685407,7400 Harrisburg Rd,Exact,US Census,1
a,J M Alexander Middle,none,none,12010 Hambright Rd,35.376721,-80.838144,12010 Hambright Rd,Exact,US Census,2
a,J T Williams Secondary Montessori,none,none,2400 Carmine St,35.26758,-80.841741,2400 Carmine St,Exact,US Census,4
a,J.V. Washam Elementary,none,none,9611 Westmoreland Rd,35.466507,-80.868005,9611 Westmoreland Rd,Exact,US Census,4
a,James Martin Middle,none,none,6301 University Pointe Blvd,35.298439,-80.766922,6301 University Pointe Blvd,Exact,US Census,1
a,Jay M Robinson Middle,none,none,5925 Ballantyne Commons Pkwy,35.063078,-80.783486,5925 Ballantyne Commons Pkwy,Exact,US Census,5
a,Joseph W Grier Academy,none,none,8330 Grier Rd,35.267379,-80.725387,8330 Grier Rd,Exact,US Census,1
a,Kennedy Middle,none,none,4000 Gallant Ln,35.153501,-80.955732,4000 Gallant Ln,Exact,US Census,2
a,KIPP Charlotte,none,none,931 Wilann Dr,35.250641,-80.767033,931 Wilann Dr,Exact,US Census,1
a,Lake Norman Charter,none,none,12435 Old Statesville Road,35.390651,-80.835749,12435 Old Statesville Road,Exact,US Census,5
a,Lake Wylie Elementary,none,none,13620 Erwin Rd,35.115218,-80.971669,13620 Erwin Rd,Exact,US Census,2
a,Lansdowne Elementary,none,none,6400 Prett Ct,35.143272,-80.782308,6400 Prett Ct,Exact,US Census,2
a,Lawrence Orr Elementary,none,none,4835 Shamrock Dr,35.225991,-80.743914,4835 Shamrock Dr,Exact,US Census,3
a,Lebanon Road Elementary,none,none,7300 Lebanon Rd,35.184109,-80.689629,7300 Lebanon Rd,Exact,US Census,2
a,Levine Middle College High,none,none,2728 Campus Ridge Rd,35.10741,-80.692786,2728 Campus Ridge Rd,Exact,US Census,4
a,Lincoln Heights Academy,none,none,1900 Newcastle St,35.216579,-80.811975,1900 Newcastle St,Exact,US Census,4
a,Long Creek Elementary,none,none,9213-A Beatties Ford Rd,35.350911,-80.889591,9213-A Beatties Ford Rd,Exact,US Census,2
a,Mallard Creek Elementary,none,none,9801 Mallard Creek Rd,35.335392,-80.774512,9801 Mallard Creek Rd,Exact,US Census,2
a,Mallard Creek High,none,none,3825 Johnston Oehler Rd,35.36517,-80.77001,3825 Johnston Oehler Rd,Exact,US Census,3
a,Mallard Creek STEM Academy,none,none,9142 Browne Rd,35.36674,-80.797061,9142 Browne Rd,Exact,US Census,2
a,Marie G Davis,none,none,3351 W Griffith St,35.202144,-80.876499,3351 W Griffith St,Exact,US Census,4
a,Martin Luther King Jr Middle,none,none,500 Bilmark Ave,35.263388,-80.778459,500 Bilmark Ave,Exact,US Census,1
a,Matthews Charter Academy,none,none,2332 Mount Harmony Church Rd.,35.109514,-80.678875,2332 Mount Harmony Church Rd.,Exact,US Census,3
a,Matthews Elementary,none,none,200 McDowell Ave,35.113195,-80.723443,200 McDowell Ave,Exact,US Census,4
a,McAlpine Elementary,none,none,9100 Carswell Ln,35.081844,-80.828071,9100 Carswell Ln,Exact,US Census,4
a,McClintock Middle,none,none,1925 Rama Rd,35.180983,-80.767116,1925 Rama Rd,Exact,US Census,2
a,McKee Road Elementary,none,none,4101 McKee Rd,35.068284,-80.754791,4101 McKee Rd,Exact,US Census,5
a,Merancas Middle College High,none,none,11930 Verhoeff Dr,35.39181,-80.840231,11930 Verhoeff Dr,Exact,US Census,4
a,Merry Oaks International Academy,none,none,3508 Draper Ave,35.218293,-80.783023,3508 Draper Ave,Exact,US Census,1
a,Metro School,none,none,405 S. Davidson St,35.2182,-80.841304,405 S. Davidson St,Exact,US Census,3
a,Metrolina Reg Scholars Academy,none,none,5225 Seventy-seven Center Dr,35.168645,-80.88592,5225 Seventy-seven Center Dr,Exact,US Census,5
a,Military and Global Leadership Academy,none,none,1411 Hawthorne Lane Ste A,35.22846,-80.814761,1411 Hawthorne Lane Ste A,Exact,US Census,1
a,Mint Hill Middle,none,none,11501 Idewild Rd,35.153045,-80.69848,11501 Idewild Rd,Exact,US Census,4
a,Montclaire Elementary,none,none,5801 Farmbrook Dr,35.15225,-80.867255,5801 Farmbrook Dr,Exact,US Census,1
a,Morehead STEM Academy,none,none,7810 Neal Rd,35.296698,-80.775137,7810 Neal Rd,Exact,US Census,4
a,Mountain Island Day School,none,none,1209 Little Rock Road,35.26123,-80.938601,1209 Little Rock Road,Exact,US Census,3
a,Mountain Island Lake Academy,none,none,7905 Pleasant Grove Rd,35.308039,-80.928453,7905 Pleasant Grove Rd,Exact,US Census,2
a,Movement Charter School,none,none,2701-B  Freedom Dr,35.23708,-80.884841,2701-B  Freedom Dr,Exact,US Census,3
a,Myers Park High,none,none,2400 Colony Rd,35.170784,-80.833367,2400 Colony Rd,Exact,US Census,4
a,Myers Park Traditional,none,none,2132 Radcliffe Ave,35.190189,-80.83449,2132 Radcliffe Ave,Exact,US Census,3
a,Nathaniel Alexander Elementary,none,none,7910 Neal Rd,35.298736,-80.774752,7910 Neal Rd,Exact,US Census,4
a,Nations Ford Elementary,none,none,7050 Nations Ford Rd,35.154888,-80.900221,7050 Nations Ford Rd,Exact,US Census,2
a,Newell Elementary,none,none,325 Rocky River Road West,35.286611,-80.753691,325 Rocky River Road West,Exact,US Census,1
a,North Mecklenburg High,none,none,11201 Old Statesville Rd,35.372678,-80.834877,11201 Old Statesville Rd,Exact,US Census,3
a,Northeast Middle,none,none,5960 Brickstone Dr,35.198073,-80.691777,5960 Brickstone Dr,Exact,US Census,1
a,Northridge Middle,none,none,7601 The Plaza,35.259771,-80.730709,7601 The Plaza,Exact,US Census,1
a,Northwest School of the Arts,none,none,1415 Beatties Ford Rd,35.257129,-80.856677,1415 Beatties Ford Rd,Exact,US Census,4
a,Oakdale Elementary,none,none,1825 Oakdale Rd,35.300692,-80.896938,1825 Oakdale Rd,Exact,US Census,2
a,Oakhurst STEAM Academy,none,none,4511 Monroe Rd,35.19514,-80.783521,4511 Monroe Rd,Exact,US Census,1
a,Oaklawn Language Academy,none,none,1810 Oaklawn Ave,35.251225,-80.850261,1810 Oaklawn Ave,Exact,US Census,3
a,Olde Providence Elementary,none,none,3800 Rea Rd,35.110635,-80.798773,3800 Rea Rd,Exact,US Census,4
a,Olympic High - Biotech Health Pub Admin,none,none,4301 Sandy Porter Rd   Suite E,35.158211,-80.952922,4301 Sandy Porter Rd   Suite E,Exact,US Census,2
a,Olympic High - Renaissance School,none,none,4301 Sandy Porter Rd   Suite D,35.15786,-80.952408,4301 Sandy Porter Rd   Suite D,Exact,US Census,4
a,Olympic High-Leadership and Development,none,none,4301 Sandy Porter Rd   Suite C,35.158209,-80.952951,4301 Sandy Porter Rd   Suite C,Exact,US Census,5
a,Olympic High-Math Eng Tech Science,none,none,4301 Sandy Porter Rd    Suite,35.158286,-80.952938,4301 Sandy Porter Rd    Suite,Exact,US Census,4
a,Olympic TEAM High School,none,none,4301 Sandy Porter Rd    Suite,35.158302,-80.952934,4301 Sandy Porter Rd    Suite,Exact,US Census,5
a,Palisades Park Elementary,none,none,15321 York Rd,35.093561,-81.02592,15321 York Rd,Exact,US Census,4
a,Park Road Montessori,none,none,3701 Haven Dr,35.17753,-80.848753,3701 Haven Dr,Exact,US Census,5
a,Parkside Elementary,none,none,2945 Johnston-Oehler Rd,35.360772,-80.760935,2945 Johnston-Oehler Rd,Exact,US Census,4
a,Paw Creek Elementary,none,none,1300 Cathey Rd,35.291096,-80.945218,1300 Cathey Rd,Exact,US Census,2
a,Performance Learning Center,none,none,2300 W Sugar Creek Road,35.29507,-80.795681,2300 W Sugar Creek Road,Exact,US Census,2
a,Phillip O Berry Academy of Technology,none,none,1430 Alleghany St,35.239231,-80.891683,1430 Alleghany St,Exact,US Census,4
a,Piedmont IB Middle,none,none,1241 E 10th St,35.223209,-80.823905,1241 E 10th St,Exact,US Census,5
a,Pineville Elementary,none,none,204 Lowery St,35.081481,-80.889505,204 Lowery St,Exact,US Census,3
a,Pinewood Elementary,none,none,805 Seneca Pl,35.166169,-80.864008,805 Seneca Pl,Exact,US Census,1
a,Piney Grove Elementary,none,none,8801 Eaglewind Dr,35.173065,-80.731053,8801 Eaglewind Dr,Exact,US Census,2
a,Pioneer Springs Community School,none,none,9300 Bob Beatty Rd.,35.34828,-80.822591,9300 Bob Beatty Rd.,Exact,US Census,3
a,Polo Ridge Elementary,none,none,11830 Tom Short Rd,35.046855,-80.795134,11830 Tom Short Rd,Exact,US Census,5
a,Providence High,none,none,1800 Pineville-Matthews Rd,35.110344,-80.763887,1800 Pineville-Matthews Rd,Exact,US Census,5
a,Providence Spring Elementary,none,none,10045 Providence Church Ln,35.072778,-80.769808,10045 Providence Church Ln,Exact,US Census,5
a,Quail Hollow Middle,none,none,2901 Smithfield Church Rd,35.113917,-80.854653,2901 Smithfield Church Rd,Exact,US Census,2
a,Queen City STEM School,none,none,8701 Mallard Creek Rd,35.32318,-80.775761,8701 Mallard Creek Rd,Exact,US Census,4
a,Queen's Grant Community School,none,none,6400 Matthews Mint Hill Road,35.16588,-80.662061,6400 Matthews Mint Hill Road,Exact,US Census,2
a,Rama Road Elementary,none,none,1035 Rama Rd,35.1697,-80.772267,1035 Rama Rd,Exact,US Census,1
a,Randolph Middle,none,none,4400 Water Oak Rd,35.184168,-80.794571,4400 Water Oak Rd,Exact,US Census,5
a,Ranson Middle,none,none,5850 Statesville Rd,35.300334,-80.838885,5850 Statesville Rd,Exact,US Census,2
a,Reedy Creek Elementary,none,none,10801 Plaza Rd Ext,35.260209,-80.684327,10801 Plaza Rd Ext,Exact,US Census,3
a,Reid Park Academy,none,none,4108 W Tyvola Rd,35.204978,-80.905386,4108 W Tyvola Rd,Exact,US Census,1
a,Renaissance West STEAM Academy,none,none,3241 New Renaissance Way,35.207655,-80.920803,3241 New Renaissance Way,Exact,US Census,2
a,Ridge Road Middle,none,none,7260 Highland Creek Pkwy,35.376236,-80.762653,7260 Highland Creek Pkwy,Exact,US Census,2
a,River Gate Elementary,none,none,15340 Smith Rd,35.087492,-80.977235,15340 Smith Rd,Exact,US Census,3
a,River Oaks Academy,none,none,1015 Mt Holly-Huntersville Rd,35.308338,-80.978597,1015 Mt Holly-Huntersville Rd,Exact,US Census,1
a,Rocky River High,none,none,10505 Clear Creek Commerce Dr,35.214252,-80.640044,10505 Clear Creek Commerce Dr,Exact,US Census,1
a,Sedgefield Elementary,none,none,715 Hartford Ave,35.190272,-80.863432,715 Hartford Ave,Exact,US Census,1
a,Sedgefield Middle,none,none,2700 Dorchester Pl,35.196755,-80.855862,2700 Dorchester Pl,Exact,US Census,5
a,Selwyn Elementary,none,none,2840 Colony Rd,35.167758,-80.834754,2840 Colony Rd,Exact,US Census,5
a,Shamrock Gardens Elementary,none,none,3301 Country Club Dr,35.234012,-80.788375,3301 Country Club Dr,Exact,US Census,3
a,Sharon Elementary,none,none,4330 Foxcroft Rd,35.152964,-80.817467,4330 Foxcroft Rd,Exact,US Census,5
a,Smithfield Elementary,none,none,3200 Smithfield Church Rd,35.110727,-80.851186,3200 Smithfield Church Rd,Exact,US Census,3
a,Socrates Academy,none,none,3909 Weddington Rd,35.072886,-80.72885,3909 Weddington Rd,Exact,US Census,5
a,South Charlotte Middle,none,none,8040 Strawberry Ln,35.090597,-80.799037,8040 Strawberry Ln,Exact,US Census,5
a,South Mecklenburg High,none,none,8900 Park Rd,35.109355,-80.860978,8900 Park Rd,Exact,US Census,3
a,Southwest Middle School,none,none,13624 Steele Creek Rd,35.107185,-80.990741,13624 Steele Creek Rd,Exact,US Census,1
a,Starmount Acad of Excellence,none,none,1600 Brookdale Ave,35.13929,-80.870511,1600 Brookdale Ave,Exact,US Census,1
a,Statesville Road Elementary,none,none,5521 Milhaven Ln,35.29595,-80.847521,5521 Milhaven Ln,Exact,US Census,1
a,Steele Creek Elementary,none,none,4100 Gallant Ln,35.1569,-80.955747,4100 Gallant Ln,Exact,US Census,2
a,Sterling Elementary,none,none,9601 China Grove Church Rd,35.107305,-80.884933,9601 China Grove Church Rd,Exact,US Census,2
a,Stewart Creek High,none,none,2701-F Freedom Dr,35.236459,-80.885543,2701-F Freedom Dr,Exact,US Census,1
a,Stoney Creek Elementary,none,none,14015 Mallard Roost Rd,35.348296,-80.725308,14015 Mallard Roost Rd,Exact,US Census,2
a,Sugar Creek Charter,none,none,4101 N Tryon Street,35.257679,-80.797545,4101 N Tryon Street,Exact,US Census,2
a,Thomasboro Academy,none,none,538 Bradford Dr,35.25466,-80.898698,538 Bradford Dr,Exact,US Census,3
a,Thunderbird Preparatory Academy,none,none,17609 Old Statesville Rd,35.45164,-80.843621,17609 Old Statesville Rd,Exact,US Census,2
a,Torrence Creek Elementary,none,none,14550 Ranson Rd,35.41215,-80.872686,14550 Ranson Rd,Exact,US Census,4
a,Trillium Springs Montessori,none,none,9213 Beatties Ford Rd,35.349525,-80.890772,9213 Beatties Ford Rd,Exact,US Census,4
a,Tuckaseegee Elementary,none,none,2028 Little Rock Rd,35.249533,-80.942031,2028 Little Rock Rd,Exact,US Census,1
a,Turning Point Academy,none,none,8701 Moores Chapel Rd,35.273766,-80.950755,8701 Moores Chapel Rd,Exact,US Census,3
a,United Community School,none,none,1406 Suther Road,35.30007,-80.727958,1406 Suther Road,Exact,US Census,2
a,Unity Classical Charter,none,none,1929 W Arrowood Rd,35.14281,-80.922561,1929 W Arrowood Rd,Exact,US Census,2
a,University Meadows Elementary,none,none,1600 Pavilion Blvd,35.31548,-80.714456,1600 Pavilion Blvd,Exact,US Census,1
a,University Park Creative Arts,none,none,2400 Hildebrand St,35.260804,-80.859241,2400 Hildebrand St,Exact,US Census,1
a,UpROAR Leadership Academy,none,none,5500 North Tryon St,35.26116,-80.773461,5500 North Tryon St,Exact,US Census,1
a,Vance High,none,none,7600 IBM Dr,35.300403,-80.769214,7600 IBM Dr,Exact,US Census,1
a,Vaughan Academy of Technology,none,none,8601 Old Concord Rd,35.285612,-80.733883,8601 Old Concord Rd,Exact,US Census,1
a,VERITAS Community School CFA,none,none,2600 Grimes Street,35.25203,-80.821421,2600 Grimes Street,Exact,US Census,1
a,Villa Heights Elementary,none,none,800 Everett Place,35.23673,-80.813271,800 Everett Place,Exact,US Census,1
a,Waddell Language Academy,none,none,7030 Nations Ford Rd,35.155297,-80.900227,7030 Nations Ford Rd,Exact,US Census,5
a,Walter G Byers School,none,none,1415 Hamilton St,35.244018,-80.84139,1415 Hamilton St,Exact,US Census,1
a,West Charlotte High,none,none,2219 Senior Dr,35.265404,-80.858453,2219 Senior Dr,Exact,US Census,1
a,West Mecklenburg High,none,none,7400 Tuckaseegee Rd,35.24792,-80.952017,7400 Tuckaseegee Rd,Exact,US Census,1
a,Westerly Hills Academy,none,none,4420 Denver Ave,35.231917,-80.911481,4420 Denver Ave,Exact,US Census,1
a,Whitewater Academy,none,none,11600 White Rapids Rd,35.28323,-80.992551,11600 White Rapids Rd,Exact,US Census,1
a,Whitewater Middle,none,none,10201 Running Rapids Rd,35.28323,-80.992551,10201 Running Rapids Rd,Exact,US Census,1
a,William Amos Hough High,none,none,12420 Bailey Rd,35.46729,-80.827491,12420 Bailey Rd,Exact,US Census,5
a,Wilson Middle School,none,none,7020 Tuckaseegee Rd,35.25012,-80.944031,7020 Tuckaseegee Rd,Exact,US Census,1
a,Winding Springs Elementary,none,none,6601 Horace Mann Rd,35.306431,-80.828575,6601 Horace Mann Rd,Exact,US Census,1
a,Windsor Park Elementary,none,none,3910 Sudbury Rd,35.223185,-80.759942,3910 Sudbury Rd,Exact,US Census,3
a,Winget Park Elementary,none,none,12235 Winget Rd,35.130809,-81.000545,12235 Winget Rd,Exact,US Census,4
a,Winterfield Elementary,none,none,3100 Winterfield Pl,35.208021,-80.766988,3100 Winterfield Pl,Exact,US Census,1